,geometry,station_id,station_name
0,POINT (100.091797 20.272713),010501,Chiang Saen
1,POINT (101.663756 17.900765),011903,Chiang Khan
2,POINT (102.716298 17.881141),012001,Nong Khai
3,POINT (104.797209 17.399167),013101,Nakhon Phanom
4,POINT (104.738883 16.582595),013402,Mukdahan
5,POINT (105.495762 15.325401),013801,Khong Chiam
6,POINT (105.795461 15.109065),013901,Pakse
7,POINT (105.933541 13.521971),014501,Stung Treng
8,POINT (106.02405 12.442278),014901,Kratie
9,POINT (104.9446 11.569068),019801,Chroy Chang Var
10,POINT (105.248741 10.803169),019803,Tan Chau
11,POINT (104.804773 11.819396),020102,Prek Kdam
12,POINT (105.133955 10.706492),039801,Chau Doc
13,POINT (104.980153 11.545518),KNR,Koh Norea
14,POINT (104.936424 11.565018),OSP,OSP-MRC
15,POINT (105.98753 13.536957),SKB,Sekong Bridge
