X,Y,id,name,Reach,DownReach
108.366467404176,12.2642603094338,36,Krong No 2,174,175
108.312203408498,12.2303885363583,37,Krong No 3,175,176
108.103264772722,14.1879762682377,26,DakDoa,306,307
108.025806985147,12.3052448667268,13,BuonTuaSrah,182,183
107.98463192117,14.7118409080942,29,DakPsi4,244,245
107.912719639905,12.5381817450327,14,BuonKuop,190,191
107.917643998261,12.6534975385343,16,Drayhlinh1,193,194
107.899227282234,12.7366929399691,17,SrePok3,195,196
107.863085437587,14.3912261175073,2,Pleikrong,254,115
107.828903090535,12.8210666013966,18,SrePok4,196,197
107.65147250378,14.0346487826885,25,IaGrai3,353,125
107.813303952745,14.2147688759631,3,YaLi,119,120
107.706671423164,13.970753792275,24,IaGrai1,352,353
107.658452413539,14.124619179097,5,SeSan3A,124,125
107.734603869335,14.2093002127209,4,Sesan3,121,122
107.589130383179,14.0223795101328,6,Sesan4,127,128
107.508060972607,13.9802695224502,19,Sesan4A,128,129
107.408933446863,15.3873616973068,7,Xekaman3,77,78
107.150740821709,14.9504321536302,8,Xekaman1,93,94
107.121156250063,14.884039764312,9,XekamanSanxay,95,96
107.089847512683,16.1422581483558,101,ALuoi,348,349
106.858617190276,14.4776169088174,21,NamKong2,338,339
106.737486139387,15.1852284734851,40,Xenamnoy1,169,170
106.647385269897,15.1178419272876,11,XepianXenam,293,168
106.248339346536,13.5661503559053,22,LowerSesan2,164,165
107.940547427499,14.6601713656814,28,Dakpsi 5,246,247
