Station name;Station code;Latitude;Longitude;Area (km2);Cumulative Area (km2);River
Chiang Saen;010501;20.272727;100.091811;19.0750;190.750;Mekong
Luang Prabang;011201;19.898781;102.134637;75.245;265.995;Mekong
Chiang Khan;011903;17.900786;101.663769;26.602;296.612;Mekong
Nong Khai;012001;17.881152;102.716308;3.214;306.422;Mekong
Nakhon Phanom/ Thakhek;013101;17.399185;104.797211;64.731;371.153;Mekong
Mukdahan/ Savannaketh;013401;16.562591;104.734290;21.925;393.078;Mekong
Khong Chiam;013801;15.325419;105.495822;29.870;422.948;Mekong
Pakse;013901;15.109091;105.795496;127.958;550.906;Mekong
Stung Treng;014501;13.522047;105.933548;46.788;640.719;Mekong
Kratie;014901;12.442324;106.024037;11.355;652.074;Mekong
Prek Kdam;020102;11.819399;104.804789;78.144;85.500;Tonle Sap
Chroy Chang Var;019801;11.569067;104.944613;1.288;667.013;Mekong
OSP-MRC;033401;11.508786;104.940270;25;753.979;Bassac
Koh Norea;KNR;11.55154;104.981370;;;Mekong
Tau Doc;980601;10.801711;105.242178;;;Mekong
Can Tau;039803;10.704878;105.135190;;;Bassac
3S River basin;SKB;13.535400;105.772376;78.650;;3S
